id	typeFreq	A	B	C	D	E	F
1	279	b	m	y	vv	xx	iii
2	169	i	t	ff	qq	eee	ppp
3	67	d	o	aa	ll	zz	kkk
4	53	e	p	bb	mm	aaa	lll
5	41	d	p	aa	mm	zz	lll
6	38	l	x	ii	uu	hhh	ttt
7	34	i	u	ff	rr	eee	qqq
8	29	l	w	ii	tt	hhh	sss
9	28	a	m	jj	vv	ww	iii
10	26	h	s	ee	pp	ddd	ooo
11	24	j	v	gg	ss	fff	rrr
12	20	h	t	ee	qq	ddd	ppp
13	19	g	s	dd	pp	ccc	ooo
14	17	c	n	z	kk	yy	jjj
15	16	f	r	cc	oo	bbb	nnn
16	15	g	r	dd	oo	ccc	nnn
17	14	k	w	hh	tt	ggg	sss
18	14	c	o	z	ll	yy	kkk
19	13	k	v	hh	ss	ggg	rrr
20	13	b	n	y	kk	xx	jjj
21	12	a	x	jj	uu	ww	ttt
22	12	j	u	gg	rr	fff	qqq
23	11	f	q	cc	nn	bbb	mmm
24	11	e	q	bb	nn	aaa	mmm
25	6	i	u	ff	qq	eee	qqq
26	5	i	t	ff	qq	eee	qqq
27	4	i	u	ff	qq	eee	ppp
28	2	i	t	ff	rr	eee	ppp
29	2	i	t	ff	rr	eee	qqq
30	1	b	m	y	vv	ww	iii
31	1	b	m	jj	vv	ww	iii
32	1	i	u	ff	rr	eee	ppp
33	1	b	m	y	vv	xx	jjj
34	1	d	p	aa	ll	zz	lll
35	1	e	p	aa	mm	zz	lll
36	1	d	p	aa	mm	aaa	lll
