class	typeFreq	NomSg	GenSg	AccSg	NomPl	GenPl	AccPl
1	277	aQs	aQ	aQ	aQdes	aQdon	aQdes
4	21	Qas	Qa	Qa	aQdes	aQdon	aQdes
6	9	Q2as	Q2a	Q2a	aQdes	aQdon	aQdes
2	244	Qas	Qa	Qa	Qes	Qon	Qes
3	194	Qas	Qa	Qa	Qes	oQn	Qes
5	393	Q2as	Q2a	Q2a	Q2es	Qon	Q2es
7	653	iQs	iQ	iQ	eQs	oQn	eQs
10	815	Qis	Qi	Qi	Qes	oQn	Qes
8	128	iQs	iQ	iQ	iQdes	iQdon	iQdes
11	307	Qis	Qi	Qi	Qides	Qidon	Qides
12	6	Q2is	Q2i	Q2i	Qides	Qidon	Qides
13	108	eQs	eQ	eQ	eQdes	eQdon	eQdes
14	7	Qes	Qe	Qe	Qides	Qidon	Qides
15	3	uQs	uQ	uQ	uQdes	uQdon	uQdes
16	9	Qus	Qu	Qu	Qi	Qon	Qus
17	1711	oQs	uQ	oQ	iQ	oQn	uQs
19	465	Q2os	Qu	Q2o	Q2i	Qon	Qus
18	1324	Qos	Qu	Qo	Qi	Qon	Qus
20	587	Q2os	Q2u	Q2o	Q2i	Q2on	Q2us
21	87	eQas	eQa	eQa	iQs	eQon	iQs
22	7	iQs	iQ	iQ	iQs	oQn	iQs
23	11	aQ	aQs	aQ	aQdes	aQdon	aQdes
24	844	aQ	aQs	aQ	eQs	oQn	eQs
26	443	Qa	Qas	Qa	Qes	Qon	Qes
25	3433	Qa	Qas	Qa	Qes	oQn	Qes
27	1172	Q2a	Q2as	Q2a	Q2es	oQn	Q2es
28	696	Q2a	Q2as	Q2a	Q2es	Qon	Q2es
29	805	iQ	iQs	iQ	eQs	oQn	eQs
30	453	Qi	Qis	Qi	Qes	oQn	Qes
31	98	Qi	Qis	Qi	Qis	Qeon	Qis
33	2412	Q2i	Q2is	Q2i	Qis	Qeon	Qis
37	110	uQ	uQs	uQ	uQdes	uQdon	uQdes
37a	9	Qo	Qos	Qo	Qes	Qon	Qes
38	328	oQ	uQ	oQ	aQ	onQ	aQ
39	765	Qo	Qu	Qo	Qa	Qon	Qa
41	1400	Q2o	Q2u	Q2o	Q2a	Q2on	Q2a
40	947	Q2o	Qu	Q2o	Q2a	Qon	Q2a
43	163	ZEROQ	uQ	ZEROQ	aQ	oQn	aQ
44	1385	QZERO	uQ	QZERO	Qa	oQn	Qa
45	27	Qi	giuQ	Qi	Qgia	gioQn	Qgia
46	84	Qos	Qus	Qos	Qi	oQn	Qi
47	16	Q2os	Qus	Q2os	Qi	oQn	Qi
48	141	Q2ZERO	Q2tos	Q2ZERO	Q2ta	Qton	Q2ta
49	2145	Q3ZERO	Q2tos	Q3ZERO	Q2ta	Qton	Q2ta
50	107	Q2o	Qatos	Q2o	Qata	aQton	Qata
51	7	Q2s	Q2tos	Q2s	Q2ta	Qton	Q2ta
51a	3	Qs	toQs	Qs	Qta	Qton	Qta
52	11	QZERO	Qtos	QZERO	Qta	Qton	Qta
