class	typeFreq	nom.sg	gen.sg	loc.sg	nom.pl	gen.pl	loc.pl
I	61	0	0	0	0	ni	ni
II	52	0	kä	kä	0	ni	ni
III	45	0	kä	kä	ni	ni	ni
IV	23	0	0	0	ni	ni	ni
V	11	0	0	0	0	0	0
VI	10	0	0	kä	0	ni	ni
VII	9	0	kä	0	ni	ni	ni
VIII	8	0	0	0	0	ni	0
IX	5	0	kä	0	0	ni	ni
X	3	0	0	kä	ni	ni	ni
XI	2	0	kä	kä	0	ni	0
XII	2	0	kä	kä	0	0	ni
XIII	2	0	0	0	0	0	ni
XIV	1	0	kä	kä	0	0	0
XV	1	0	kä	0	0	ni	0
XVI	1	0	0	kä	0	0	ni
XVII	4	0	ä	ä	ni	ni	ni
XVIII	2	0	ä	ä	0	ni	ni
XIX	2	0	kä	ä	ni	ni	ni
XX	2	0	kä	ä	0	ni	ni
XXI	1	0	0	ä	0	ni	ni
XXII	1	0	ä	kä	0	ni	ni
XXIII	2	0	0	ä	ni	ni	ni
XXIV	1	0	kä	kä	ni	0	ni
XXV	1	0	kä	kä	0	kä	ni
