class	typeFreq	NomSg	AccSg	GenSg	LocSg	DatSg	InstSg	NomPl	AccPl	GenPl	LocPl	DatPl	InstPl
1	490	/N	/N	/N	/N	/N	/N	/N	/N	/N	/N	/N	/N
2	18	/N	/a	/a	/e	/u	/om	/y	/N	/N	/ax	/am	/ami
3	15	/o	/o	/a	/e	/y	/om	/y	/N	/N	/ax	/am	/ami
4	1808	/a	/a	/y	/e	/e	/oj	/y	/N	/N	/ax	/am	/ami
5	19	a/	a/	y/	e/	e/	oj/	/y	/N	/N	/ax	/am	/ami
6	16	/o	/o	/a	/e	/y	/om	/a	/N	/N	/ax	/am	/ami
7	2	o/	o/	a/	e/	y/	om/	/a	/N	/N	/ax	/am	/ami
8	22	/N	/N	/a	/e	/u	/om	/y	/y	/N	/ax	/am	/ami
9	15	/o	/o	/a	/e	/y	/om	/y	/y	/N	/ax	/am	/ami
10	5681	/a	/a	/y	/e	/e	/oj	/y	/y	/N	/ax	/am	/ami
11	1	o/	o/	a/	e/	y/	om/	/y	/y	/N	/ax	/am	/ami
12	5	a/	/a	y/	e/	e/	oj/	/y	/y	/N	/ax	/am	/ami
13	164	a/	a/	y/	e/	e/	oj/	/y	/y	/N	/ax	/am	/ami
14	4900	/o	/o	/a	/e	/y	/om	/a	/a	/N	/ax	/am	/ami
15	27	o/	o/	a/	e/	y/	om/	/a	/a	/N	/ax	/am	/ami
16	10118	/N	/N	/a	/e	/u	/om	/y	/y	/ov	/ax	/am	/ami
17	573	/*N	/*N	/a	/e	/u	/om	/y	/y	/ov	/ax	/am	/ami
18	4	/o	/o	/a	/e	/y	/om	/y	/y	/ov	/ax	/am	/ami
19	5788	/N	/a	/a	/e	/u	/om	/y	/ov	/ov	/ax	/am	/ami
20	675	/*N	/a	/a	/e	/u	/om	/y	/ov	/ov	/ax	/am	/ami
21	1	N/	a/	a/	e/	u/	om/	/y	/ov	/ov	/ax	/am	/ami
22	2	/o	/o	/a	/e	/y	/om	/a	/ov	/ov	/ax	/am	/ami
23	113	/inN	/ina	/ina	/ine	/inu	/inom	/e	/ov	/ov	/ax	/am	/ami
24	25	/o	/o	/a	/e	/y	/om	/a	/a	/ov	/ax	/am	/ami
25	1	o/	o/	a/	e/	y/	om/	/a	/a	/ov	/ax	/am	/ami
26	18	/a	/a	/y	/e	/e	/oj	/y	/y	/ej	/ax	/am	/ami
27	3697	/N	/N	/y	/y	/y	/ju	/y	/y	/ej	/ax	/am	/ami
28	18	/a	/a	/y	/e	/e	/oj	/y	/ej	/ej	/ax	/am	/ami
29	36	/N	/N	/y	/y	/y	/ju	/y	/ej	/ej	/ax	/am	/ami
30	7	/*N	/*N	/a	/e	/u	/om	/y	/y	/*N	/ax	/am	/ami
31	80	/o	/o	/a	/e	/y	/om	/y	/y	/*N	/ax	/am	/ami
32	3953	/a	/a	/y	/e	/e	/oj	/y	/y	/*N	/ax	/am	/ami
33	4	*N/	*N/	a/	e/	u/	om/	/y	/y	/*N	/ax	/am	/ami
34	13	a/	a/	y/	e/	e/	oj/	/y	/y	/*N	/ax	/am	/ami
35	384	/o	/o	/a	/e	/y	/om	/a	/a	/*N	/ax	/am	/ami
36	34	o/	o/	a/	e/	y/	om/	/a	/a	/*N	/ax	/am	/ami
37	2	/*N	/a	/a	/e	/u	/om	/y	/*N	/*N	/ax	/am	/ami
38	4	/o	/o	/a	/e	/y	/om	/y	/*N	/*N	/ax	/am	/ami
39	1616	/a	/a	/y	/e	/e	/oj	/y	/*N	/*N	/ax	/am	/ami
40	1	a/	a/	y/	e/	e/	oj/	/y	/*N	/*N	/ax	/am	/ami
41	112	/N	/N	/a	/e	/u	/om	y/	y/	ov/	ax/	am/	ami/
42	650	N/	N/	a/	e/	u/	om/	y/	y/	ov/	ax/	am/	ami/
43	517	*N/	*N/	a/	e/	u/	om/	y/	y/	ov/	ax/	am/	ami/
44	8	o/	o/	a/	e/	y/	om/	y/	y/	ov/	ax/	am/	ami/
45	9	/N	/a	/a	/e	/u	/om	/y	ov/	ov/	ax/	am/	ami/
46	2	/*N	/a	/a	/e	/u	/om	/y	ov/	ov/	ax/	am/	ami/
47	1	N/	a/	a/	e/	u/	om/	/y	ov/	ov/	ax/	am/	ami/
48	6	/N	/a	/a	/e	/u	/om	y/	ov/	ov/	ax/	am/	ami/
49	668	N/	a/	a/	e/	u/	om/	y/	ov/	ov/	ax/	am/	ami/
50	164	*N/	a/	a/	e/	u/	om/	y/	ov/	ov/	ax/	am/	ami/
51	6	o/	o/	a/	e/	y/	om/	y/	ov/	ov/	ax/	am/	ami/
52	27	/N	/a	/a	/e	/u	/om	a/	ov/	ov/	ax/	am/	ami/
53	1	/inN	/ina	/ina	/ine	/inu	/inom	a/	ov/	ov/	ax/	am/	ami/
54	129	/N	/N	/a	/e	/u	/om	a/	a/	ov/	ax/	am/	ami/
55	2	/o	/o	/a	/e	/y	/om	a/	a/	ov/	ax/	am/	ami/
56	6	N/	N/	a/	e/	u/	om/	a/	a/	ov/	ax/	am/	ami/
57	1	o/	o/	a/	e/	y/	om/	a/	a/	ov/	ax/	am/	ami/
58	25	/N	/N	/a	/e	/u	/om	/y	y	ov/	ax/	am/	ami/
59	8	/*N	/*N	/a	/e	/u	/om	/y	y	ov/	ax/	am/	ami/
60	2	N/	N/	a/	e/	u/	om/	/y	y	ov/	ax/	am/	ami/
61	1	/N	/N	/a	/e	/u	/om	y/	y/	N/	ax/	am/	ami/
62	1	N/	N/	a/	e/	u/	om/	y/	y/	N/	ax/	am/	ami/
63	7	a/	/a	y/	e/	e/	oj/	y/	y/	N/	ax/	am/	ami/
64	251	a/	a/	y/	e/	e/	oj/	y/	y/	N/	ax/	am/	ami/
65	1	a/	a/	y/	e/	e/	oj/	/y	N/	N/	ax/	am/	ami/
66	48	a/	a/	y/	e/	e/	oj/	y/	N/	N/	ax/	am/	ami/
67	1	o/	o/	a/	e/	y/	om/	a/	N/	N/	ax/	am/	ami/
68	18	/o	/o	/a	/e	/y	/om	a/	a/	N/	ax/	am/	ami/
69	54	o/	o/	a/	e/	y/	om/	a/	a/	N/	ax/	am/	ami/
