class	typeFreq	PRS.3.SG	PST.1	INF	GER	JUSS	IMPERS.PRS.3.SG	IMPERS.PTCP.PST.SG	PTCP.PRS
I	88	0	si	Aq	En	guq	tAs	t	v
II	15	0	V	Aq	En	guq	As	d	vA
III	3	0	V	Aq	En	guq	dAs	t	v
IV	87	0	V	Aq	En	guq	tAs	t	v
V	689	0	V	Aq	En	kuq	tAs	t	vA
VI	2	0	V	tAq	tEn	kuq	tAs	tt	v
VII	58	s	si	dAq	dEn	guq	dAs	t	v
VIII	127	s	si	dAq	dEn	guq	tAs	t	v
IX	9	s	si	dAq	tEn	guq	tAs	t	v
X	437	s	si	dAq	tEn	kuq	tAs	t	v
XI	13	s	si	tAq	tEn	kuq	tAs	t	v
XII	3	s	V	Aq	En	guq	As	d	vA
XIII	355	s	V	Aq	En	guq	dAs	d	v
XIV	1601	s	V	Aq	En	guq	dAs	t	v
XV	24	s	V	Aq	En	guq	tAs	t	v
XVI	5	s	V	Aq	En	guq	tAs	t	vA
XVII	115	s	V	Aq	En	kuq	dAs	t	v
XVIII	18	s	V	Aq	En	kuq	tAs	t	vA
XIX	257	s	V	dAq	dEn	guq	dAs	d	v
XX	230	s	V	dAq	dEn	guq	dAs	t	v
XXI	393	s	V	dAq	dEn	guq	tAs	t	v
XXII	6	s	V	dAq	dEn	guq	tAs	t	vA
XXIII	133	s	V	tAq	tEn	kuq	tAs	t	v
